TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
AJE,-,JET EXPRES,AERO JET EXPRESS,"AERO JET EXPRESS, S.A. DE C.V.",MEXICO
RVQ,-,REVA AIR,AERO JET INTERNATIONAL,"AERO JET INTERNATIONAL (FORT LAUDERDALE, FL)",UNITED STATES OF AMERICA
JLA,-,AERO JOE,AERO JL,AERO JL,MEXICO
MHC,-,AERO JOMACHA,AERO JOMACHA,"AERO JOMACHA, S.A. DE C.V.",MEXICO
EOK,-,AEROHANGUK,AERO K AIRLINES,AERO K AIRLINES,REPUBLIC OF KOREA
ERL,-,AEROLAB,AERO LAB,"AERO LAB, S.A. DE C.V.",MEXICO
LDR,-,AEROLIDER,AERO LIDER,"AERO LIDER, S.A. DE C.V.",MEXICO
ARK,-,LINK SERVICE,AERO LINK AIR SERVICES,AERO LINK AIR SERVICES S.L.,SPAIN
AEM,-,AEROMADRID,AERO MADRID,AERO MADRID,SPAIN
MOC,-,AEROMARAT,AERO MARAT,AERO MARAT SA DE CV,MEXICO
MFL,-,MCFLY,AERO MCFLY,"AERO MCFLY, S.A. DE C.V.",MEXICO
MNG,-,AERO MONGOLIA,AERO MONGOLIA,AERO MONGOLIA,MONGOLIA
ANK,KA,AERO NOMAD,AERO NOMAD,AERO NOMAD AIRLINES LLC,KYRGYZSTAN
OWN,-,AERO OWEN,AERO OWEN,"AERO OWEN, S.A. DE C.V",MEXICO
PNL,-,AEROPERSONAL,AERO PERSONAL,"AERO PERSONAL, S.A. DE C.V.",MEXICO
MIE,-,AEROPREMIER,AERO PREMIER DE MEXICO,"AERO PREMIER DE MEXICO, S.A. DE C.V.",MEXICO
QUI,-,QUIMMCO,AERO QUIMMCO,"AERO QUIMMCO, S.A DE C.V.",MEXICO
RCO,-,AEROCOAHUILA,AERO RENTA DE COAHUILA,"AERO RENTA DE COAHUILA, S.A. DE C.V.",MEXICO
ROO,-,AERO ROA,AERO ROA,"AERO ROA, S.A.DE C.V.",MEXICO
RRC,-,AEROROCA,AERO ROCA,"AERO ROCA, S.A. DE C.V.",MEXICO
SOM,-,AERO-SAL,AERO SALMON,"AERO SALMON, S.A. DE C.V.",MEXICO
SMI,-,SAMI,AERO SAMI,"AERO SAMI, S.A. DE C.V.",MEXICO
GHM,-,-,AERO SERVICE BOLIVIA,AERO SERVICE BOLIVIA,BOLIVIA
BAS,-,AEROSERV,AERO SERVICES,AERO SERVICES,BARBADOS
SRV,-,SERVICORP,AERO SERVICIO CORPORATIVO,"AERO SERVICIO CORPORATIVO, S.A. DE C.V.",MEXICO
GUE,-,AERO GUERRERO,AERO SERVICIO GUERRERO,"AERO SERVICIO GUERRERO, S.A. DE C.V.",MEXICO
PTD,-,PITY,AERO SERVICIO PITY,"AERO SERVICIO PITY, S.A. DE C.V.",MEXICO
TED,-,AEROAZTECA,AERO SERVICIOS AZTECA,"AERO SERVICIOS AZTECA, S.A. DE C.V.",MEXICO
EMS,-,SERVIEMPRESARIAL,AERO SERVICIOS EMPRESARIALES,"AERO SERVICIOS EMPRESARIALES, S.A. DE C.V.",MEXICO
SVE,-,AEROESPECIAL,AERO SERVICIOS ESPECIALIZADOS,"AERO SERVICIOS ESPECIALIZADOS, S.A. DE C.V.",MEXICO
PNU,-,AERO PLATINUM,AERO SERVICIOS PLATINUM,"AERO SERVICIOS PLATINUM, S.A. DE C.V.",MEXICO
ERI,-,ASERGIO,AERO SERVICIOS REGIOMONTANOS,"AERO SERVICIOS REGIOMONTANOS, S.A. DE C.V.",MEXICO
SIZ,-,AEROSILZA,AERO SILZA,"AERO SILZA, S.A. DE C.V.",MEXICO
ASK,-,MULTISKY,AERO SKY,AERO SKY S.L.,SPAIN
ASR,-,SOTRAVIA,AERO SOTRAVIA,AERO SOTRAVIA,FRANCE
IKM,-,EASY SHUTTLE,AERO SURVEY,AERO SURVEY LTD,GHANA
KAT,-,AEROTAK,AERO TAK,AERO TAK LIMITED,NIGERIA
TPO,-,TAXI-POTOSI,AERO TAXI DEL POTOSI,"AERO TAXI DEL POTOSI, S.A.",MEXICO
FES,-,AERO ALFE,AERO TAXIS Y SERVICIOS ALFE,"AERO TAXIS Y SERVICIOS ALFE, S.A. DE C.V.",MEXICO
TLU,-,AEROTOLUCA,AERO TOLUCA INTERNACIONAL,"AERO TOLUCA INTERNACIONAL, S.A. DE C.V.",MEXICO
TZA,-,AERO TOMZA,AERO TOMZA,"AERO TOMZA, S.A. DE C.V.",MEXICO
RTE,-,LA MONTANA,AERO TRANSPORTE LA MONTANA,"AERO TRANSPORTE LA MONTANA, C. A.",VENEZUELA
EPL,-,EMPRESARIALES,AERO TRANSPORTES EMPRESARIALES,AERO TRANSPORTES EMPRESARIALES,MEXICO
