CALLSIGN,SSR INDICATION,ICAO 3LD,UNIT OR OPERATOR,FORCE,ACFT TYPE,COUNTRY,SOURCE REMARK,OPERATIONAL NOTE,LOCATION NOTE2,ETYMOLOGY NOTE,MISCELLANEOUS NOTE,ASSOCIATED FIXED CALLSIGN,APPROVED CONTRACTION,TAXONOMY,SENSITIVITY,SOURCE,,,,,,,,,,,,,,,,,
ARIES,ARIES,-,JOINT HELICOPTER COMMAND,ROYAL AIR FORCE,DRON,UNITED KINGDOM,,,WATCHKEEPER UAV,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARKTOS,ARKTOS,-,UNKN,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,BEAR IN GREEK,,,U,N,1,,,,,,,,,,,,,,,,,,,
ARMY AIR,AAC,AAC,GENERIC,ARMY AIR CORPS,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARMY HISTORICS,HSTRC,-,HISTORIC ARMY AIRCRAFT FLIGHT,ARMY AIR CORPS,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ARROWHEAD,ARWHD,-,654 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,"4 REGIMENT, REGIMENTAL HEADQUARTERS",,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ASCOT,ASCO,-,GENERIC,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,AIR SUPPORT COMMAND OPERATIONAL TASK,,,Y,N,1,,,,,,,,,,,,,,,,,,,
ASCOT,ASCOT,-,GENERIC,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,AIR SUPPORT COMMAND OPERATIONAL TASK,,,Y,N,1,,,,,,,,,,,,,,,,,,,
ASCOT,ASCT,-,GENERIC,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,AIR SUPPORT COMMAND OPERATIONAL TASK,,,Y,N,1,,,,,,,,,,,,,,,,,,,
ASCOT,RRR,RRR,GENERIC,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,AIR SUPPORT COMMAND OPERATIONAL TASK,,,Y,N,1,,,,,,,,,,,,,,,,,,,
ASGARD,ASGRD,-,495TH FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
ASLAN,ASLAN,-,70 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
ASPIRIN,ASPRN,-,JOINT SERVICES AIR TASKING ORGANISATION,DEFENCE EQUIPMENT & SUPPORT,FA20,UNITED KINGDOM,,,OPERATIONAL READINESS TRAINING FLEET,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ATAR,ATAR,-,352ND SPECIAL OPERATIONS WING,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ATARI,ATARI,-,48TH FIGHTER WING,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ATOKA,ATOKA,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ATOLL,N/A,N/A,TRANSPORT SUPPORT OPERATIONS REPRESENTATIVE,MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,ACP125 RADIO APPOINTMENT TITLE,,,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
ATTACK,ATTCK,-,492ND FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ATTACK,ATTACK,-,492ND FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F15,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
AVON,AVON,-,HAWKER HUNTER AVIATION,UK GOVERNMENT CONTRACTOR,HUNT,UNITED KINGDOM,,,REFERENCE TO THE ROLLS-ROYCE AVON ENGINES USED,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AVRO,WFD,WFD,WARTON LARGE AIRCRAFT FLIGHT OPERATIONS,DEFENSE EQUIPMENT & SUPPORT,UNKN,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AWARD,AWARD,-,7 REGIMENT,ARMY AIR CORPS,H64,UNITED KINGDOM,,,STANDARDS FLIGHT,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AXIS,AXIS,-,25 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AZTEC,AZTEC,-,847 NAVAL AIR SQUADRON,ROYAL NAVY,LYNX,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BACCHUS,BCCHS,-,22 SQUADRON,ROYAL AIR FORCE,LYNX,UNITED KINGDOM,,,ROTARY WING OPERATIONAL EVALUATION & TRAINING UNIT (RWOETU),,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BADBOY,BADBY,-,658 SQUADRON,ARMY AIR CORPS,AS32,UNITED KINGDOM,,,"MOD A BLOCK - DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BADGER,BADGR,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,N,1,,,,,,,,,,,,,,,,,,,
BADGER,BADGE,-,ATTACK HELICOPTER FORCE,BRITISH ARMY,H64,UNITED KINGDOM,,,HEADQUARTERS (COMMAND POST),,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BAGO,BAGO,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
BALANCE,BLNCE,-,7 REGIMENT,ARMY AIR CORPS,H64,UNITED KINGDOM,,,MAINTENANCE TEST PILOT,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BALDRIC,BALDRIC,-,30 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
BALDRIC,BLDRC,-,30 SQUADRON,ROYAL AIR FORCE,A400,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BALLS,BALLS,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BANDIT,N/A,-,GAMA AVIATION,UK GOVERNMENT CONTRACTOR,BN2T,UNITED KINGDOM,,,"DUE TO THE NATURE OF THESE FLIGHTS, SSR INDICATION IS RARELY DISPLAYED",,,U,N/A,1,,,,,,,,,,,,,,,,,,,
BANNER,BANNER,-,GENERIC,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,TARGET TUG,,,U,N,1,,,,,,,,,,,,,,,,,,,
BANTAM,BANTM,-,RAF BENSON,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,STATION CALLSIGN,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BANYAN,BANYN,-,JOINT SERVICES AIR TASKING ORGANISATION,DEFENCE EQUIPMENT & SUPPORT,FA20,UNITED KINGDOM,,,AIR DEFENCE - OPERATIONAL READINESS TRAINING FLEET,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BARKSTON,BKH,BKH,RAF BARKSTON HEATH,ROYAL AIR FORCE,G12T,UNITED KINGDOM,,,STATION CALLSIGN,,,U,N,1,,,,,,,,,,,,,,,,,,,
BARLEY,BARLY,-,AIR AND SPACE WARFARE CENTRE,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BARN,BARN,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
BARON,BARON,-,9 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BARREL,BARREL,-,100TH AIR REFUELING WING,UNITED STATES AIR FORCE EUROPE,K35R,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
BASEBALL,N/A,N/A,AIR TRAFFIC CONTROLLER / AIR DIRECTION OFFICER,MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,ACP125 RADIO APPOINTMENT TITLE,,,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
BAT,BAT,-,655 SQUADRON,ARMY AIR CORPS,N/A,UNITED KINGDOM,,,FLYING OPERATIONS CEASED 2007,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BAT,BAT,-,665 SQUADRON,ARMY AIR CORPS,H64,UNITED KINGDOM,,,"5 REGIMENT, REGIMENTAL HEADQUARTERS",,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BATMAN,BATMAN,-,9 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
BATMAN,BATMN,-,9 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BATTLE,BATTL,-,BATTLE OF BRITAIN MEMORIAL FLIGHT,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BATTLECAT,BTLCT,-,230 SQUADRON,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BAUBLE,BAUBL,-,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,RESERVED FOR  2 GROUP EXERCISES.,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
BAYONET,BAYNT,-,2 SQUADRON,ROYAL AIR FORCE,EUFI,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
