Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
CHALARD,Julcar,JRC1,L,0,L,L,
CHAMPION,8 Decathlon,BL8,L,1179,L,L,
CHAMPION,Lancer,CH40,L,1111,L,L,
CHAMPION,7ECA Citabria,CH7A,L,680,L,L,
CHAMPION,7KC Olympia,CH7B,L,1089,L,L,
CHANGHE,Z-11,AS50,L,2500,L,L,
CHANGHE,Z-8,FREL,M,13000,S,S,
CHANGHE,WZ-10,WZ10,L,6000,L,L,
CHASLE,YC-122 Tourbillon,YC12,L,0,L,L,
CHENGDU,F-10,J10,M,18500,S,S,
CHENGDU,J-20,J20,M,20000,S,S,
CHICHESTER-MILES,Leopard,LEOP,L,0,L,L,
CHILTON,DW-1,CDW1,L,0,L,L,
CHRIS TENA,Mini Coupe,MCOU,L,0,L,L,
CHRISTEN,Eagle,EAGL,L,716,L,L,
CHRISTEN,A-1 Husky,HUSK,L,998,L,L,
CICARE,CH-12,CH12,L,700,L,L,
CICARE,Aguilucho,CH14,L,1500,L,L,
CICARE,CH-14 Aguilucho,CH14,L,1500,L,L,
CIRCA,Nieuport 12-7/8,CN12,L,0,L,L,
CIRRUS,SR-22T,S22T,L,1633,L,L,
CIRRUS,SJ-X Vision,SF50,L,2722,L,L,
CIRRUS,SR-20 SRV,SR20,L,1429,L,L,
CIRRUS,SR-22,SR22,L,1633,L,L,
CIRRUS,VK-30 Cirrus,VK3P,L,390,L,L,
CLASS,Bush Caddy L-162,CAD4,L,1202,L,L,
CLAUDIUS DORNIER,CD-2 Seastar,CD2,L,4600,L,L,
COBALT,Co-50 Valkyrie,CO50,L,1550,L,L,
COBRA,Arrow,COAR,L,0,L,L,
COLEMILL,Starfire Bonanza 35,BE35,L,1656,L,L,
COLYAER,Martin 3,CMA3,L,600,L,L,
COMAC,ARJ-21-700 Xiangfeng,AJ27,M,47180,M,LM,
COMAC,C-919,C919,M,78900,M,LM,
COMMONWEALTH (1),BA-206 Kiowa,B06,L,2064,L,L,
COMMONWEALTH (1),CA-32 Kiowa,B06,L,2064,L,L,
COMMONWEALTH (1),Kiowa,B06,L,2064,L,L,
COMMONWEALTH (1),Boomerang,CA19,L,0,L,L,
COMMONWEALTH (1),Winjeel,CA25,L,0,L,L,
COMMONWEALTH (1),Wirraway,WIRR,L,0,L,L,
COMP AIR,CA-12 Comp Air 12,CA12,L,4899,L,L,
COMP AIR,CA-10XLT Comp Air 10XLT,CA1T,L,0,L,L,
COMP AIR,CA-3 Comp Air 3,CA3,L,0,L,L,
COMP AIR,CA-4 Comp Monster,CA4,L,1175,L,L,
COMP AIR,CA-6 Comp Air 6,CA6,L,0,L,L,
COMP AIR,Comp Air 7P,CA7P,L,0,L,L,
COMP AIR,Comp Air 7SLX,CA7T,L,0,L,L,
COMP AIR,CA-8 Comp Air 8,CA8,L,0,L,L,
COMP AIR,CA-9 Comp Air 9,CA9,L,3493,L,L,
COMP AIR,CA-J Comp Air Jet,CAJ,L,4944,L,L,
COMPOSIT AIRPLANES,Viva,VIVA,L,0,L,L,
CONTINENTAL COPTERS,El Tomcat,ELTO,L,1293,L,L,
CONVAIR,Liberator,B24,M,26308,S,S,
CONVAIR,VC-131G,CVLP,M,22544,S,S,
CONVAIR,QF-106 Delta Dart,F106,M,15875,L,L,
CONVAIR,Privateer,P4Y,M,29510,S,S,
CORBY,Starlet,CJ1,L,340,L,L,
CORVUS,CA-41 Racer,CA41,L,0,L,L,
COUPE,JC-01,JC01,L,0,L,L,
COUPE,JC-02,JC02,L,0,L,L,
CO-Z,CozyJet,COZJ,L,0,L,L,
CRAE,Dragon Fly,DRAG,L,500,L,L,
CRAIOVA,Soim,IR99,L,0,L,L,
CRANFIELD,Eagle,CRA1,L,0,L,L,
CREATIVE FLIGHT,MPA Aerocat SR,CAT1,L,0,L,L,
CREATIVE FLIGHT,MPA Aerocat TR,CAT2,L,0,L,L,
CROSES,Tourisme,EC6,L,0,L,L,
CUB CRAFTERS,CC-19 XCub,CC19,L,1043,L,L,
CULP,Sopwith Pup,CPUP,L,0,L,L,
CULP,Special,CULP,L,0,L,L,
CULP,MonoCulp,MOCU,L,0,L,L,
CULVER,V,CULV,L,726,L,L,
CURTISS,C-46 Commando,C46,M,20412,S,S,
CURTISS,Robin,CRBN,L,1320,L,L,
CURTISS,Warhawk,P40,L,0,L,L,
CUSTOM FLIGHT,Bright Star,BSTR,L,0,L,L,
CUSTOM FLIGHT,Lite Star,LSTR,L,0,L,L,
CUSTOM FLIGHT,North Star,NSTR,L,0,L,L,
CVJETKOVIC,Mini Ace,CA61,L,0,L,L,
CVJETKOVIC,CA-65 Skyfly,CA65,L,0,L,L,
CZAW,Parrot,PROT,L,0,L,L,
DAC,RangeR,RNGR,L,0,L,L,
DAHER AEROSPACE,MS-890 Rallye Commodore,RALL,L,1100,L,L,
DAHER AEROSPACE,Rallye 235 A to F,RALL,L,1250,L,L,
DAMOURE-FABRE,Saphir,DFL6,L,0,L,L,
D'APUZZO,D-201 Sportwing,D201,L,0,L,L,
D'APUZZO,Senior Aero Sport,SRAS,L,0,L,L,
DART,G,DRTG,L,703,L,L,
DASSAULT,1150 Atlantic,ATLA,M,43500,M,LM,
DASSAULT,Etendard 4,ETAR,M,10200,L,L,
DASSAULT,Falcon 2000,F2TH,M,19414,S,S,
DASSAULT,Falcon 900,F900,M,22226,S,S,
DASSAULT,Falcon 10,FA10,M,8755,L,L,
DASSAULT,Falcon 20,FA20,M,14515,L,L,
DASSAULT,Falcon 50,FA50,M,18497,S,S,
DASSAULT,Falcon 5X,FA5X,M,18500,S,S,
DASSAULT,Falcon 7X,FA7X,M,31751,S,S,
DASSAULT,Falcon 8X,FA8X,M,33112,S,S,
DASSAULT,Flamant,FLAM,L,0,L,L,
DASSAULT,Vajra,MIR2,M,17000,L,L,
DASSAULT,Mirage F1,MRF1,M,14900,L,L,
DASSAULT,Mystère 4A,MYS4,M,7500,L,L,
DASSAULT,Rafale,RFAL,M,24500,S,S,
DASSAULT,Super Mystère B2,SMB2,M,10000,L,L,
DAVIS,DA-2,DA2,L,510,L,L,
DAVIS,DA-5,DA5,L,0,L,L,
DE HAVILLAND,Puss Moth,DH80,L,901,L,L,
DE HAVILLAND,DH-82 Tiger Moth,DH82,L,828,L,L,
DE HAVILLAND,Fox Moth,DH83,L,953,L,L,
DE HAVILLAND,DH-84 Dragon,DH84,L,2043,L,L,
DE HAVILLAND,Leopard Moth,DH85,L,0,L,L,
DE HAVILLAND,Hornet Moth,DH87,L,0,L,L,
DE HAVILLAND,Comet Replica,DH88,L,0,L,L,
DE HAVILLAND,Dragon Rapide,DH89,L,0,L,L,
DE HAVILLAND,Dragonfly,DH90,L,0,L,L,
DE HAVILLAND,Moth Minor,DH94,L,0,L,L,
DE HAVILLAND,Chipmunk,DHC1,L,953,L,L,
DE HAVILLAND,DH-104 Dove,DOVE,L,0,L,L,
DE HAVILLAND,Mosquito,MOSQ,M,10433,L,L,
DE HAVILLAND ,Moth,DH60,L,757,L,L,
DE HAVILLAND ,Heron,HERN,L,0,L,L,
DE HAVILLAND AUSTRALIA,Drover,DHA3,L,0,L,L,
DE HAVILLAND CANADA,DHC-2 Mk3 Turbo Beaver,DH2T,L,2436,L,L,
DE HAVILLAND CANADA,DHC-3 Turbo Otter,DH3T,L,3629,L,L,
DE HAVILLAND CANADA,DHC-4 Turbo Caribou,DH4T,M,12927,L,L,
DE HAVILLAND CANADA,DHC-8-100 Dash 8,DH8A,M,16466,L,L,
DE HAVILLAND CANADA,DHC-8-200 Dash 8,DH8B,M,16466,L,L,
DE HAVILLAND CANADA,DHC-8-300 Dash 8,DH8C,M,19505,S,S,
DE HAVILLAND CANADA,DHC-8-400 Dash 8,DH8D,M,29574,S,S,
DE HAVILLAND CANADA,DHC-2 Beaver,DHC2,L,2313,L,L,
DE HAVILLAND CANADA,DHC-3 Otter,DHC3,L,3629,L,L,
DE HAVILLAND CANADA,DHC-4 Caribou,DHC4,M,12927,L,L,
DE HAVILLAND CANADA,DHC-5 Buffalo,DHC5,M,18597,S,S,
DE HAVILLAND CANADA,DHC-7 Dash 7,DHC7,M,20003,S,S,
DEAN-WILSON,Whitney Boomerang,WBOO,L,825,L,L,
DEBORDE-ROLLAND,Cobra,COBR,L,0,L,L,
DELISLE,Cadi,CAD2,L,0,L,L,
DENEL,A-109,A109,L,3175,L,L,
DENEL,A-119 Koala,A119,L,2850,L,L,
DENEL,Koala,A119,L,2850,L,L,
DENEL,AH-2 Rooivalk,RVAL,M,8700,S,S,
DENEL,CSH-2 Rooivalk,RVAL,M,8700,S,S,
DENEL,Rooivalk,RVAL,M,8700,S,S,
DENIZE,Raid Driver,RD20,L,0,L,L,
DF HELICOPTERS,Dragon,DRAG,L,500,L,L,
DG FLUGZEUGBAU,DG-1000T,DG1T,L,790,L,L,
DG FLUGZEUGBAU,LS-10ST,LS10,L,600,L,L,
DIAMOND,DA-36 E-Star,DA36,L,770,L,L,
DIAMOND,Katana (DA-40),DA40,L,1310,L,L,
DIAMOND,Twin Star,DA42,L,2300,L,L,
DIAMOND,DA-50SuperStar,DA50,L,1999,L,L,
DIAMOND,DA-62,DA62,L,2300,L,L,
DIAMOND,HK-36,DIMO,L,770,L,L,
DIAMOND,D-Jet,DJET,L,0,L,L,
DIAMOND,Dart-450,DT45,L,2400,L,L,
DICKEY,E-Racer,ERAC,L,0,L,L,
DIJKMAN-DULKES,Dijkhastar 3,DIJ3,L,0,L,L,
DINFIA,Ranquel,IA46,L,0,L,L,
DIRECT FLY,Alto,ALTO,L,600,L,L,
DIRGANTARA,NAS-332 Super Puma,AS32,M,8600,S,S,
DIRGANTARA,Super Puma,AS32,M,8600,S,S,
DIRGANTARA,NBO-105,B105,L,2600,L,L,
DIRGANTARA,NBell-412,B412,L,5534,L,L,
DORNA,D-139 Blue Bird,D139,L,0,L,L,
DORNIER,Alpha Jet,AJET,M,7000,L,L,
DORNIER,Jungmeister,BU33,L,0,L,L,
DORNIER,Do-28 Skyservant,D28D,L,3862,L,L,
DORNIER,Do-28D-6 Turbo Skyservant,D28T,L,4350,L,L,
DORNIER,Fpl53,DO27,L,1851,L,L,
DORNIER,Do-28B ,DO28,L,2720,L,L,
DORNIER,UH-1,UH1,L,5080,L,L,
DOUGLAS,AD Skyraider,A1,M,11300,L,L,
DOUGLAS,A-20 Havoc,A20,M,9080,L,L,
DOUGLAS,A-3 Skywarrior,A3,M,33110,S,S,
DOUGLAS,B-23 Dragon,B23,M,12474,L,L,
DOUGLAS,DC-2,DC2,M,8618,L,L,
DOUGLAS,DC-3,DC3,M,12202,L,L,
DOUGLAS,Super DC-3,DC3S,M,14470,L,L,
DOUGLAS,DC-4,DC4,M,33475,S,S,
DOUGLAS,DC-6,DC6,M,48534,M,LM,
DOUGLAS,DC-7,DC7,M,65657,M,LM,
DOUGLAS,A-24 Dauntless,SBD,L,0,L,L,
DOVA,DV-2 Infinity,DV2,L,600,L,L,
DOWNER,Bellanca 260,B14B,L,1451,L,L,
DRAGON FLY,Dragon Fly,DRAG,L,500,L,L,
DREAM,Tundra,TNDR,L,0,L,L,
DRIGGS,Skylark,DSLK,L,0,L,L,
DRUINE,Turbi,D5TU,L,0,L,L,
DURAND,Mk5,DUR5,L,0,L,L,
DURUBLE,RD-03 Edelweiss,RD03,L,0,L,L,
DYKE,JD-2 Delta,JD2,L,0,L,L,
DYN'AERO,CR-100,CR10,L,0,L,L,
DYN'AERO,Lafayette 1 Sportster,MCR1,L,0,L,L,
DYN'AERO,MCR-4,MCR4,L,0,L,L,
DYN'AERO,MCR-R180,MCRR,L,0,L,L,
DYN'AERO,Twin-R,TWIR,L,0,L,L,
DYNALI,H-2,DYH2,L,700,L,L,
E & K,SBM-03 Kos,SBM3,L,0,L,L,
E-7 GROUP,E-7 Bush Hog,E7BH,L,0,L,L,
EAA,Acro-Sport 2,ACR2,L,0,L,L,
EAA,Super Acro-Sport,ACRO,L,0,L,L,
EAA,Biplane,BIPL,L,0,L,L,
EAGLE,DW-1 Eagle,DW1,L,1814,L,L,
EAGLE AIRCRAFT,Eagle 100,EAGX,L,650,L,L,
EARLY BIRD,Spad 13 80%,ES13,L,0,L,L,
ECLIPSE,Eclipse 400,EA40,L,0,L,L,
ECLIPSE,Eclipse 500,EA50,L,2722,L,L,
EGVOYAGER,VR-202,VR20,L,0,L,L,
EHI,CH-149 Cormorant,EH10,M,14600,S,S,
EHI,Cormorant,EH10,M,14600,S,S,
EHI,EH-101,EH10,M,14600,S,S,
EHI,EH-101 Merlin,EH10,M,14600,S,S,
EHI,Merlin,EH10,M,14600,S,S,
EHI,SH-101,EH10,M,14600,S,S,
EHI,UH-101,EH10,M,14600,S,S,
EKOLOT,Beetle,JK05,L,473,L,L,
EKOLOT,Topaz,KR30,L,560,L,L,
EKW,C-3605,C365,L,0,L,L,
EKW,D-27,DWD2,L,0,L,L,
ELITAR,IE-202,EL20,L,0,L,L,
ELITAR,IE-101 Elitar,ELTR,L,0,L,L,
ELITAR,Sigma,SIGM,L,0,L,L,
ELIXIR,Elixir,LXR,L,544,L,L,
ELMWOOD,CA-05 Christavia Mk1,CHR1,L,0,L,L,
ELMWOOD,Christavia Mk4,CHR4,L,0,L,L,
EMBRAER,AMX,AMX,M,13400,L,L,
EMBRAER,EMB-110 Bandeirante,E110,L,5670,L,L,
EMBRAER,EMB-120 Brasilia,E120,M,11990,L,L,
EMBRAER,EMB-121 Xingu,E121,L,5670,L,L,
EMBRAER,EMB-135,E135,M,22500,S,S,
EMBRAER,EMB-145,E145,M,22000,S,S,
EMBRAER,EMB-170,E170,M,38600,S,S,
EMBRAER,EMB-190,E190,M,54500,M,LM,
EMBRAER,EMB-195,E195,M,52290,M,LM,
EMBRAER,E175-E2,E275,M,44800,M,LM,
EMBRAER,E190-E2,E290,M,56400,M,LM,
EMBRAER,E195-E2,E295,M,62000,M,LM,
EMBRAER,AT-29,E314,L,5400,L,L,
EMBRAER,Legacy 650,E35L,M,24300,S,S,
EMBRAER,EMB-145XR,E45X,M,24100,S,S,
EMBRAER,EMB 500 Phenom 100,E50P,L,4855,L,L,
EMBRAER,EMB-545 Legacy 450,E545,M,17040,S,S,
EMBRAER,EMB-550 Legacy 500,E550,M,19440,S,S,
EMBRAER,EMB-505 Phenom 300,E55P,M,8415,L,L,
EMBRAER,EMB-175 (long wing),E75L,M,40370,M,LM,
EMBRAER,EMB-175 (short wing),E75S,M,40370,M,LM,
EMBRAER,KC-390,KC39,M,86999,M,LM,
ENAER,T-35DT Turbo Pillán,TPIL,L,1338,L,L,
ENGLISH ELECTRIC,Lightning,LTNG,M,18915,S,S,
ENSTROM,280 Shark,EN28,L,1179,L,L,
ENSTROM,F-28,EN28,L,1179,L,L,
ENSTROM,F-28 Falcon,EN28,L,1179,L,L,
ENSTROM,F-28 Sentinel,EN28,L,1179,L,L,
ENSTROM,Falcon,EN28,L,1179,L,L,
ENSTROM,Sentinel,EN28,L,1179,L,L,
ENSTROM,Shark,EN28,L,1179,L,L,
ENSTROM,480,EN48,L,1361,L,L,
ENSTROM,TH-28,EN48,L,1361,L,L,
EPERVIER (1),Epervier,EPER,L,0,L,L,
EPERVIER (2),X-1,EPX1,L,0,L,L,
EPIC AIRCRAFT,Epic Elite,ELIT,L,3493,L,L,
EPIC AIRCRAFT,E-1000,EPIC,L,3629,L,L,
EPIC AIRCRAFT,Epic Escape,ESCA,L,2495,L,L,
EPIC AIRCRAFT,Epic Victory,EVIC,L,2495,L,L,
EURO PINGOUIN,JA-177 Pingouin 152,J177,L,0,L,L,
EUROALA,Jet Fox,JFOX,L,0,L,L,
EUROCOPTER,AS-332C Super Puma,AS32,M,8600,S,S,
EUROCOPTER,AS-332L1 Super Puma,AS32,M,8600,S,S,
EUROCOPTER,AS-332M1 Super Puma,AS32,M,9300,S,S,
EUROCOPTER,AS-532AL Cougar,AS32,M,8600,S,S,
EUROCOPTER,AS-532SC Cougar,AS32,M,8600,S,S,
EUROCOPTER,AS-532UC Cougar,AS32,M,8600,S,S,
EUROCOPTER,AS-532UL Cougar,AS32,M,8600,S,S,
EUROCOPTER,Cougar,AS32,M,9300,S,S,
EUROCOPTER,Hkp10 Super Puma,AS32,M,9300,S,S,
EUROCOPTER,Super Puma,AS32,M,9300,S,S,
EUROCOPTER,AS-332L2 Super Puma Mk2,AS3B,M,9300,S,S,
EUROCOPTER,AS-532A2 Cougar Mk2,AS3B,M,9300,S,S,
EUROCOPTER,AS-532U2 Cougar Mk2,AS3B,M,9300,S,S,
EUROCOPTER,Cougar Mk2,AS3B,M,9300,S,S,
EUROCOPTER,Super Puma Mk2,AS3B,M,9300,S,S,
EUROCOPTER,AS-350 AStar,AS50,L,2500,L,L,
EUROCOPTER,AS-350 Ecureuil,AS50,L,2500,L,L,
EUROCOPTER,AS-350 Stylence,AS50,L,2500,L,L,
EUROCOPTER,AS-350 SuperStar,AS50,L,2500,L,L,
EUROCOPTER,AS-550 Fennec,AS50,L,2500,L,L,
EUROCOPTER,AStar,AS50,L,2500,L,L,
EUROCOPTER,Ecureuil,AS50,L,2500,L,L,
EUROCOPTER,Fennec (AS-550),AS50,L,2500,L,L,
EUROCOPTER,Squirrel,AS50,L,2500,L,L,
EUROCOPTER,Stylence (AS-350),AS50,L,2500,L,L,
EUROCOPTER,SuperStar,AS50,L,2500,L,L,
EUROCOPTER,AS-355 Ecureuil 2,AS55,L,2600,L,L,
EUROCOPTER,AS-355 Stylence,AS55,L,2600,L,L,
EUROCOPTER,AS-355 TwinStar,AS55,L,2600,L,L,
EUROCOPTER,AS-555 Fennec,AS55,L,2600,L,L,
EUROCOPTER,Ecureuil 2,AS55,L,2600,L,L,
EUROCOPTER,Fennec (AS-555),AS55,L,2600,L,L,
EUROCOPTER,Stylence (AS-355),AS55,L,2600,L,L,
EUROCOPTER,Twin Squirrel,AS55,L,2600,L,L,
EUROCOPTER,TwinStar,AS55,L,2600,L,L,
EUROCOPTER,AS-365 Dauphin 2,AS65,L,4300,L,L,
EUROCOPTER,AS-565 Atalef,AS65,L,4300,L,L,
EUROCOPTER,AS-565 Panther,AS65,L,4300,L,L,
EUROCOPTER,Atalef,AS65,L,4300,L,L,
EUROCOPTER,Dauphin 2,AS65,L,4300,L,L,
EUROCOPTER,HM-1 Panther,AS65,L,4300,L,L,
EUROCOPTER,Panther,AS65,L,4300,L,L,
EUROCOPTER,BO-105,B105,L,2600,L,L,
EUROCOPTER,BO-105 Super Five,B105,L,2600,L,L,
EUROCOPTER,Super Five,B105,L,2600,L,L,
EUROCOPTER,Colibri,EC20,L,1715,L,L,
EUROCOPTER,EC-120 Colibri,EC20,L,1715,L,L,
EUROCOPTER,EC-120 Stylence,EC20,L,1715,L,L,
EUROCOPTER,Stylence (EC-120),EC20,L,1715,L,L,
EUROCOPTER,Caracal,EC25,M,11160,S,S,
EUROCOPTER,Cougar Mk2+,EC25,M,11160,S,S,
EUROCOPTER,EC-225 Super Puma Mk2+,EC25,M,11160,S,S,
EUROCOPTER,EC-725 Caracal,EC25,M,11160,S,S,
EUROCOPTER,EC-725 Cougar Mk2+,EC25,M,11160,S,S,
EUROCOPTER,Super Puma Mk2+,EC25,M,11160,S,S,
EUROCOPTER,EC-130,EC30,L,2500,L,L,
EUROCOPTER,EC-130 Stylence,EC30,L,2500,L,L,
EUROCOPTER,Stylence (EC-130),EC30,L,2500,L,L,
EUROCOPTER,EC-135,EC35,L,3100,L,L,
EUROCOPTER,EC-635,EC35,L,3100,L,L,
EUROCOPTER,Lakota,EC45,L,3800,L,L,
EUROCOPTER,UH-145,EC45,L,3800,L,L,
EUROCOPTER,UH-72 Lakota,EC45,L,3800,L,L,
EUROCOPTER,EC-155,EC55,L,4920,L,L,
EUROCOPTER,Gazelle,GAZL,L,1900,L,L,
EUROCOPTER,SA-342 Gazelle,GAZL,L,1900,L,L,
EUROCOPTER,Lama,LAMA,L,2300,L,L,
EUROCOPTER,SA-315 Lama,LAMA,L,2300,L,L,
EUROCOPTER,EC-665 Tiger,TIGR,L,6600,L,L,
EUROCOPTER,EC-665 Tigre,TIGR,L,6600,L,L,
EUROCOPTER,Tiger,TIGR,L,6600,L,L,
EUROCOPTER,Tigre,TIGR,L,6600,L,L,
EUROCOPTER,X-3,X3,L,5200,L,L,
EUROCOPTER-HARBIN,EC-175,EC75,M,7800,S,S,
EUROCOPTER-HARBIN,Z-15,EC75,M,7800,S,S,
EUROCOPTER-KAWASAKI,BK-117B,BK17,L,3350,L,L,
EUROCOPTER-KAWASAKI,BK-117C-1,BK17,L,3350,L,L,
EUROCOPTER-KAWASAKI,BK-117C-2,EC45,L,3585,L,L,
EUROCOPTER-KAWASAKI,EC-145,EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,EC-145 Stylence,EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,H-72 Lakota,EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,Lakota,EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,Stylence (EC-145),EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,UH-145,EC45,L,3800,L,L,
EUROCOPTER-KAWASAKI,UH-72 Lakota,EC45,L,3800,L,L,
EURODISPLAY,Magic,SR01,L,0,L,L,
EURO-ENAER,Eaglet,NMCU,L,0,L,L,
EUROFIGHTER,Typhoon,EUFI,M,23500,S,S,
EURO-FLY,Star Light,FB5,L,0,L,L,
EURO-FLY,Flash,FLSH,L,0,L,L,
EURONEF,ATTL-1,ATTL,L,0,L,L,
EUROPA,Europa,EUPA,L,621,L,L,
EVANGEL,4500 Evangel,EVAN,L,2495,L,L,
EVANS,Volksplane,VP2,L,800,L,L,
EVEKTOR,EV-55 Outback,EV55,L,4600,L,L,
EVEKTOR,EV-97 EuroStar,EV97,L,575,L,L,
EVEKTOR,SportStar,EVSS,L,600,L,L,
EVEKTOR,VUT-100 Cobra,VUT1,L,1450,L,L,
EXCEL-JET,Sport-Jet 2,SJET,L,0,L,L,
EXCLUSIVE,Grand 51,GR51,L,0,L,L,
EXPLORER (1),Ellipse,ELPS,L,0,L,L,
EXPLORER (2),Explorer 500T,EX5T,L,0,L,L,
EXTRA,EA-200,E200,L,840,L,L,
EXTRA,EA-230,E230,L,0,L,L,
EXTRA,EA-350,E300,L,950,L,L,
EXTRA,EA-400,E400,L,2130,L,L,
EXTRA,EA-500,E500,L,2130,L,L,
EXTRA,NG,EXNG,L,950,L,L,
F+W EMMEN,Alouette 3,ALO3,L,2300,L,L,
F+W EMMEN,SE-3160 Alouette 3,ALO3,L,2100,L,L,
F+W EMMEN,Vampire,VAMP,L,5606,L,L,
F+W EMMEN,Venom,VNOM,M,6944,L,L,
FAIRCHILD,A-10 Thunderbolt 2,A10,M,22700,S,S,
FAIRCHILD (1),C-119 Flying Boxcar,C119,M,33600,S,S,
FAIRCHILD (1),C-123 Provider,C123,M,27240,S,S,
FAIRCHILD (1),C-82 Packet,C82,M,19050,S,S,
FAIRCHILD (1),F-24 Argus,FA24,L,1253,L,L,
FAIRCHILD (1),FH-1100,FH11,L,1248,L,L,
FAIRCHILD (2),Husky,FA11,L,0,L,L,
FAIRCHILD DORNIER,328,D328,M,15660,L,L,
FAIRCHILD HILLER,FH-1100,FH11,L,1248,L,L,
FAIRCHILD HILLER,E4,UH12,L,1588,L,L,
FAIRCHILD HILLER,L3,UH12,L,1588,L,L,
FAIRCHILD HILLER,L4,UH12,L,1588,L,L,
FAIRCHILD HILLER,OH-23 Raven,UH12,L,1406,L,L,
FAIRCHILD HILLER,Raven,UH12,L,1588,L,L,
FAIRCHILD HILLER,SL3,UH12,L,1588,L,L,
FAIRCHILD HILLER,SL4,UH12,L,1588,L,L,
FAIRCHILD HILLER,UH-12E,UH12,L,1588,L,L,
FAIREY,Firefly,FFLY,L,0,L,L,
FAIREY,Gannet,GANT,M,9806,L,L,
FAIREY,Swordfish,SWOR,L,3977,L,L,
FAJR,F-3,FJR3,L,0,L,L,
FALCOMPOSITE,LN-27 Furio,LN27,L,1080,L,L,
FALCONAR,Mustang,FS51,L,4763,L,L,
FAMA,K-209 KISS,K209,L,500,L,L,
FAMA,KISS,K209,L,500,L,L,
FANTASY AIR,Allegro,ALGR,L,600,L,L,
FARIGOUX,Origan,FG01,L,0,L,L,
FARNBOROUGH,F-1 Kestrel,KEST,L,0,L,L,
FEUGRAY,Sirius,TR26,L,0,L,L,
FFA,AS-202-18 Bravo,AS02,L,1080,L,L,
FFA,AS-202-32TP Turbine Bravo,AS2T,L,1080,L,L,
FFT,Eurotrainer 2000,EURT,L,0,L,L,
FIAT,G-46,G46,L,0,L,L,
FIAT,G-59,G59,L,0,L,L,
FIGHTER ESCORT WINGS,P-51,FE51,L,4763,L,L,
FIKE,D,FIKD,L,0,L,L,
FIKE,E,FIKE,L,0,L,L,
FINMECCANICA,AW-109 GrandNew,A109,L,3175,L,L,
FINMECCANICA,AW-109 Power,A109,L,3175,L,L,
FINMECCANICA,Grand,A109,L,3175,L,L,
FINMECCANICA,Power,A109,L,3175,L,L,
FINMECCANICA,AW-119 Koala,A119,L,2850,L,L,
FINMECCANICA,Koala,A119,L,2850,L,L,
FINMECCANICA,AW-139,A139,L,7000,S,S,
FINMECCANICA,AW-169,A169,L,4800,L,L,
FINMECCANICA,AW-189,A189,M,8600,S,S,
FINMECCANICA,AW-101,EH10,M,14600,S,S,
FINMECCANICA,Caesar,EH10,M,14600,S,S,
FINMECCANICA,HH-101 Caesar,EH10,M,14600,S,S,
FINMECCANICA,Falco,FLCO,L,1300,L,L,
FINMECCANICA,Chinook,H47,M,22680,S,S,
FINMECCANICA,ICH-47 Chinook,H47,M,22680,S,S,
FINMECCANICA,AW-159 Lynx Wildcat,LYNX,L,5330,L,L,
FINMECCANICA,AW-159 Wildcat,LYNX,L,5330,L,L,
FINMECCANICA,Lynx Wildcat,LYNX,L,5330,L,L,
FINMECCANICA,Wildcat,LYNX,L,5330,L,L,
FISHER,Dakota Hawk,DAKH,L,0,L,L,
FISHER,R-80 Tiger Moth,TMOT,L,0,L,L,
FISHER AERO,Celebrity,CLBR,L,0,L,L,
FISHER AERO,Culex,CULX,L,0,L,L,
FISHER AERO,Horizon,HORZ,L,0,L,L,
FLAGLOR,Scooter,SCTR,L,0,L,L,
FLAGLOR,Sherpa K-650T,SHRT,L,2948,L,L,
FLÄMING AIR,Smaragd,FA01,L,473,L,L,
FLÄMING AIR,FA-02 Smaragd VLA,FA02,L,650,L,L,
FLÄMING AIR,Smaragd TMG,FA03,L,0,L,L,
FLÄMING AIR,Peregrine,FA04,L,600,L,L,
FLEET,Cornell,FA62,L,1315,L,L,
FLEET,10,FINC,L,852,L,L,
FLEET,2,FLE2,L,783,L,L,
FLEET,7 Fawn,FLE7,L,885,L,L,
FLEET,Fort,FORT,L,0,L,L,
FLIGHT DESIGN,CT,FDCT,L,600,L,L,
FLIGHT DESIGN,F-2,FDF2,L,650,L,L,
FLIGHT DESIGN,MC,FDMC,L,0,L,L,
FLIGHT DESIGN-VESSEL,KLA-100,KL10,L,620,L,L,
FLIGHTWORKS,Capella,CAPL,L,0,L,L,
FLITZER,Z-1 Flitzer,FLIZ,L,0,L,L,
FLSZ,DK-1 Der Kricket,KRIC,L,0,L,L,
FLY SYNTHESIS,Storch,STCH,L,500,L,L,
FLY SYNTHESIS,Syncro,SYNC,L,600,L,L,
FLY SYNTHESIS,Texan,TEXA,L,600,L,L,
FLYING MACHINES,FM-250 Vampire,FM25,L,0,L,L,
FMA,20 El Boyero,EBOY,L,0,L,L,
FMA,IA-50 Guarani 2,IA50,M,7700,L,L,
FMA,IA-51 Tehuelche,IA51,L,0,L,L,
FMA,IA-58 Pucará,IA58,L,0,L,L,
