Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
KAWASAKI,369,H500,L,1519,L,L,
KAWASAKI,500,H500,L,1519,L,L,
KAWASAKI,OH-6,H500,L,1519,L,L,
KAWASAKI,XC-2,KC2,H,141000,H,H,
KAWASAKI,KH-4,KH4,L,1200,L,L,
KAWASAKI,OH-1,OH1,L,4000,L,L,
KAWASAKI,XP-1,P1,M,79700,M,LM,
KAWASAKI,T-4,T4,M,7500,L,L,
KAZAN,Ansat 2RT,A2RT,L,3500,L,L,
KAZAN,Ansat,ANST,L,3300,L,L,
KELEHER,Lark,KELA,L,0,L,L,
KELLY,D,KELD,L,0,L,L,
KELOWNA,CV-5800,CVLT,M,24131,S,S,
KESTREL (1),K-250,K250,L,0,L,L,
KESTREL (2),Sport Hawk,KEHA,L,0,L,L,
KEUTHAN,Sabre 2,SAB2,L,0,L,L,
KEUTHAN,Zephyr 2,ZEP2,L,0,L,L,
KEYSTONE,S-76,S76,L,5386,L,L,
KHRUNICHEV,AT-3,KAT3,L,0,L,L,
KHRUNICHEV,T-411 Aist,T411,L,1650,L,L,
KHRUNICHEV,T-415 Snegir,T415,L,0,L,L,
KHRUNICHEV,Strekoza,T419,L,0,L,L,
KIEGER,AK-1,KAK1,L,0,L,L,
KIEGER,AK-3,KAK3,L,0,L,L,
KILLINGSWORTH,Golden Hawk,DSK,L,0,L,L,
KIMBALL,McCullocoupe,MCUL,L,0,L,L,
KIMBREL,Dormoy Bathtub,BTUB,L,0,L,L,
KING'S,44 Angel,ANGL,L,2631,L,L,
KITPLANES FOR AFRICA,Bushbaby,KFAB,L,600,L,L,
KITPLANES FOR AFRICA,Safari,KFAS,L,700,L,L,
KLEMM,L-25,KL25,L,0,L,L,
KLEMM,Kl-35,KL35,L,0,L,L,
KLS COMPOSITES,SQ-2000,SQ2T,L,0,L,L,
KOLB,Flyer SS,FLSS,L,0,L,L,
KOLB,King Colbra,KLBR,L,0,L,L,
KOLB,Laser,KOLL,L,0,L,L,
KOREA AEROSPACE,BO-105,B105,L,2600,L,L,
KOREA AEROSPACE,SB-427,B427,L,2971,L,L,
KOREA AEROSPACE,Golden Eagle,K50,M,12215,L,L,
KOREA AEROSPACE,KO-1 Woong-Bee,KT1,L,0,L,L,
KOREA AEROSPACE,Surion,SURN,M,8936,S,S,
KOREAN AIR,Chang-Gong 91,CHGO,L,0,L,L,
KOREAN AIR,369,H500,L,1519,L,L,
KOREAN AIR,500,H500,L,1519,L,L,
KOREAN AIR,500 Defender,H500,L,1519,L,L,
KOREAN AIR,520MK Black Tiger,H500,L,1519,L,L,
KOREAN AIR,Black Tiger,H500,L,1519,L,L,
KOREAN AIR,Defender,H500,L,1519,L,L,
KOREAN AIR,Black Hawk,H60,M,10659,S,S,
KOREAN AIR,UH-60 Black Hawk,H60,M,10659,S,S,
KOVACH-ELMENDORF,Doc's RX,DOCX,L,0,L,L,
KOVACS,Peregrino,K51,L,0,L,L,
KREIDER-REISNER,Challenger (C-6),KR21,L,771,L,L,
KREIDER-REISNER,C-2 Challenger,KR31,L,907,L,L,
KREIDER-REISNER,C-4 Challenger,KR34,L,1074,L,L,
KUBICEK,Scout,M2,L,600,L,L,
LA FRANCE,Cadet STF,CUCA,L,592,L,L,
LAIRD,Commercial,LCB,L,1371,L,L,
LAIRD,Speedwing,LCR,L,0,L,L,
LAKE,LA-250 Renegade,LA25,L,1424,L,L,
LAKE,LA-4,LA4,L,1179,L,L,
LAMBACH,HL-2 Replica,HL2,L,0,L,L,
LAMBERT,Mission (M-106),M106,L,0,L,L,
LAMBERT,M-108 Mission,M108,L,600,L,L,
LAMBERT,M-212 Mission,M212,L,0,L,L,
LAMMER GEYER,Jupiter,JUPI,L,0,L,L,
LANCAIR,LC-42 Columbia 350,COL3,L,1542,L,L,
LANCAIR,LC-41 Columbia 400,COL4,L,1633,L,L,
LANCAIR,Evolution Piston,EVOP,L,2064,L,L,
LANCAIR,Evolution Turbine,EVOT,L,2064,L,L,
LANCAIR,Legacy,LEG2,L,998,L,L,
LANCAIR,Lancair ES-P,LESP,L,1610,L,L,
LANCAIR,Lancair PropJet 4,LNP4,L,1610,L,L,
LANCAIR,Sentry 4T,LNT4,L,1610,L,L,
LANCAIR,Mako,MAKO,L,1610,L,L,
LANCAIR,Synergy,SNGY,L,0,L,L,
LANCAIR,Tigress,TGRS,L,0,L,L,
LANCASHIRE,EP-9 Prospector,EP9,L,0,L,L,
LANGE,E-1 Antares DLR-H2,DLH2,L,660,L,L,
LANGE,E-1 Antares 20E,LAE1,L,660,L,L,
LASER,Akro Z,LAKR,L,0,L,L,
LAVEN,LACO-125,LACO,L,0,L,L,
LAVIASA,Super Master,LV51,L,0,L,L,
LEAR JET,23,LJ23,L,5670,L,L,
LEAR JET,24,LJ24,L,6123,L,L,
LEAR JET,25,LJ25,L,6804,L,L,
LEARJET,28,LJ28,L,6804,L,L,
LEARJET,31,LJ31,M,8029,L,L,
LEARJET,35,LJ35,M,8301,L,L,
LEARJET,40,LJ40,M,9525,L,L,
LEARJET,45,LJ45,M,9752,L,L,
LEARJET,55,LJ55,M,9752,L,L,
LEARJET,60,LJ60,M,10659,L,L,
LEARJET,70,LJ70,M,9752,L,L,
LEARJET,75,LJ75,M,9752,L,L,
LEARJET,85,LJ85,M,16647,L,L,
LEAVENS,Canuck,CNUK,L,692,L,L,
LEDERLIN,380 Ladybug,L380,L,0,L,L,
LEONARDO,AW-109 GrandNew,A109,L,3175,L,L,
LEONARDO,AW-109 Trekker,A109,L,3175,L,L,
LEONARDO,Trekker,A109,L,3175,L,L,
LEONARDO,AW-119 Koala,A119,L,2850,L,L,
LEONARDO,Koala,A119,L,2850,L,L,
LEONARDO,AW-139,A139,L,7000,S,S,
LEONARDO,AW-149,A149,M,8600,S,S,
LEONARDO,AW-169,A169,L,4800,L,L,
LEONARDO,AW-189,A189,M,8600,S,S,
LEONARDO,AW-101,EH10,M,14600,S,S,
LEONARDO,Caesar,EH10,M,14600,S,S,
LEONARDO,HH-101 Caesar,EH10,M,14600,S,S,
LEONARDO,Chinook,H47,M,22680,S,S,
LEONARDO,ICH-47 Chinook,H47,M,22680,S,S,
LEONARDO,AW-159 Lynx Wildcat,LYNX,L,5330,L,L,
LEONARDO,AW-159 Wildcat,LYNX,L,5330,L,L,
LEONARDO,Lynx Wildcat,LYNX,L,5330,L,L,
LEONARDO,Wildcat,LYNX,L,5330,L,L,
LEONARDO,M-345,M345,L,4500,L,L,
LET,Aero 45,AE45,L,0,L,L,
LET,L-13 Blanik (single-engine conversions),L13M,L,510,L,L,
LET,Morava,L200,L,1950,L,L,
LET,Turbolet,L410,L,7000,L,L,
LET,L-610,L610,M,14500,L,L,
LH AVIATION,LH-10 Ellipse,LH10,L,0,L,L,
LIBERTY (1),Bellaire,LIBE,L,0,L,L,
LIBERTY (2),XL-2,XL2,L,794,L,L,
LICHTWERK,Alouette 3,ALO3,L,2300,L,L,
